기업명,연도,predicted_top30,predicted_probability,y,일치여부
성진세미텍(주),2023,0,0.2335218255221627,0.0,1
수퍼게이트 주식회사,2023,0,0.2430799322920848,1.0,0
시스템알앤디,2023,0,0.3777463755061536,0.0,1
쎄믹스,2023,1,0.4797513045355973,1.0,1
씨엔디플러스,2023,0,0.2813576904645593,0.0,1
씨엔원,2023,0,0.1947524855875914,1.0,0
아셈테크 (주),2023,0,0.1709025972191419,0.0,1
아이티에스,2023,0,0.3011737257560155,0.0,1
애니모션텍,2023,0,0.2495227703529466,1.0,0
어드밴스드웨이브,2023,0,0.2374572698405695,1.0,0
에너테크인터내셔널(주),2023,1,0.5507267039041629,1.0,1
에스브이에스주식회사,2023,1,0.4177046210290812,1.0,1
에스비이엔지,2023,0,0.1251644838012645,0.0,1
에스엠에스 주식회사,2023,0,0.1354417556853765,0.0,1
에스엠피 주식회사,2023,0,0.3406670251538764,0.0,1
에스이엠주식회사,2023,0,0.2116122523239764,0.0,1
에스티엘(주),2023,0,0.1283715611008353,0.0,1
에이지디 주식회사,2023,0,0.176401598256886,0.0,1
에이치앤에이치,2023,0,0.1729695255860692,0.0,1
에이치제이에스이엔지(주),2023,1,0.7619179748268283,1.0,1
에이치케이테크주식회사,2023,0,0.1797121948335654,0.0,1
에이치피케이,2023,1,0.5424212783812867,1.0,1
에이텍솔루션,2023,0,0.2118806553386485,0.0,1
에이티이엔지,2023,1,0.4326634682633908,1.0,1
에코프로이노베이션,2023,1,0.4899651796896134,0.0,0
엔비스아나㈜,2023,0,0.1802094425719249,0.0,1
엔터텍,2023,0,0.1666567043201693,0.0,1
엘티메탈 주식회사,2023,0,0.2187985902160808,1.0,0
엠에이티플러스㈜,2023,0,0.3255643231915577,1.0,0
엠케이피,2023,1,0.7843128614377091,1.0,1
영원이엔지,2023,0,0.2036256996307446,1.0,0
올니스,2023,1,0.6115116290096172,1.0,1
와이아이케이 주식회사,2023,0,0.1469602751752516,0.0,1
원테크,2023,0,0.1645351887009432,1.0,0
위아코퍼레이션(주),2023,1,0.7056232722819059,1.0,1
윌테크놀러지(주),2023,0,0.3075919274889634,0.0,1
유버주식회사,2023,0,0.193908509280777,0.0,1
유정시스템(주),2023,0,0.3029388946832795,0.0,1
이노로보틱스 주식회사,2023,0,0.2158408244873398,0.0,1
에이알케이텍,2023,0,0.2446976019919751,0.0,1
이피캠텍(주),2023,0,0.3285883742273892,0.0,1
인셀(주),2023,1,0.4014952240485875,0.0,0
인투코어테크놀로지주식회사,2023,0,0.1123193364492703,1.0,0
제엠제코(주),2023,0,0.2180092552910913,1.0,0
제이엔비,2023,0,0.1684802640651452,0.0,1
제이엔에스,2023,0,0.2296497587286669,0.0,1
제이엠테크 주식회사,2023,0,0.2282288690296179,0.0,1
주식회사 기산하이텍,2023,0,0.1687559960271211,1.0,0
주식회사 다다,2023,0,0.149966912923138,1.0,0
주식회사 동원하이텍,2023,0,0.149546285768736,0.0,1
주식회사 레인테크,2023,0,0.1916404883044853,1.0,0
주식회사 머신앤비전,2023,0,0.2952245397615056,1.0,0
주식회사 미코,2023,0,0.2225378030187446,1.0,0
주식회사 삼정이엔지,2023,0,0.1550711757303729,0.0,1
주식회사 성남테크,2023,0,0.1140054406030311,0.0,1
주식회사 성진테크,2023,0,0.2424717476999892,0.0,1
주식회사 세미노바,2023,0,0.3565919413449661,0.0,1
주식회사 신우이엔지,2023,0,0.3743530423452267,1.0,0
주식회사 쎄닉,2023,1,0.6233473301304453,1.0,1
주식회사 아이브이웍스,2023,1,0.580269664552561,1.0,1
주식회사 아이큐랩,2023,1,0.4179442802905057,1.0,1
주식회사 에너지테크솔루션,2023,0,0.1522588799224161,0.0,1
주식회사 에스비티엘첨단소재,2023,0,0.3907067625206082,1.0,0
주식회사 에스에프이,2023,1,0.6479436717824177,0.0,0
주식회사 에스이에이,2023,1,0.4197017048241439,1.0,1
주식회사 에이블,2023,0,0.2484889083647737,0.0,1
주식회사 에이씨티,2023,0,0.1861943382160437,1.0,0
주식회사 에이아이이,2023,0,0.1491804580845624,0.0,1
주식회사 에이프로세미콘,2023,1,0.5894196903470862,1.0,1
주식회사 엘에스테크,2023,1,0.4184840476009095,1.0,1
주식회사 유니밴스,2023,0,0.1056547330123182,0.0,1
주식회사 제스코,2023,0,0.1495692848627986,0.0,1
주식회사 제이이티,2023,1,0.4158029502031219,1.0,1
주식회사 제타,2023,1,0.6876069323052799,1.0,1
주식회사 조은테크,2023,1,0.5019583988733446,0.0,0
주식회사 창하이앤지,2023,0,0.3141627459142052,0.0,1
주식회사 천진,2023,0,0.2798873967700039,0.0,1
주식회사 코어시스템,2023,0,0.2445791194735357,0.0,1
주식회사 쿠온솔루션,2023,1,0.4071417681070595,0.0,0
주식회사 트임,2023,0,0.1584224030660536,0.0,1
주식회사 티오피에스,2023,0,0.2408432436555355,0.0,1
주식회사 파인솔루션,2023,0,0.2575450517126568,0.0,1
주식회사 포시스,2023,0,0.1571590283966591,0.0,1
주식회사 피에스디이,2023,1,0.4481516888994322,1.0,1
주식회사 한탑,2023,1,0.7410516579213731,0.0,0
주식회사 한텍시스템,2023,0,0.3961481972664727,1.0,0
주식회사미코세라믹스,2023,0,0.2517135414487713,1.0,0
주식회사아테코,2023,0,0.2152081889066837,0.0,1
주식회사이에스이,2023,1,0.765505803136775,0.0,0
주식회사일만,2023,0,0.0935012213589371,0.0,1
주식회사효광,2023,1,0.5837277516513787,1.0,1
진영테크,2023,0,0.0884882073184868,0.0,1
케이에스엠컴포넌트,2023,0,0.2838478025412916,0.0,1
케이에스티주식회사,2023,0,0.1443230470013486,0.0,1
코리아 이엔티,2023,0,0.1409395878858624,0.0,1
크라이오에이치앤아이,2023,0,0.2880243564272614,1.0,0
탑이엔지,2023,0,0.2262495268473074,0.0,1
트리노테크놀로지,2023,1,0.7847666831015889,0.0,0
티에스테크놀로지(주),2023,0,0.2664103763001542,0.0,1
티에스텍,2023,0,0.2392581224284244,0.0,1
파워큐브세미 (주),2023,0,0.2679677033645801,1.0,0
플라텍(주),2023,0,0.3101674135975936,0.0,1
플렉스 주식회사,2023,1,0.7628091829481771,1.0,1
피닉슨컨트롤스㈜,2023,1,0.4611201594480938,1.0,1
