기업명,연도,bsnsr_reg_no,crno,dart_corp_code,sectors,field,매출액,영업이익,당기순이익,자산,부채,자본,연구개발비,CAPEX,유형자산_당기,유형자산_전기,유형자산_증감,종업원_합계
(주) 코미코,2023,125-86-14826,1.21E+12,997812,반도체,부품,"307,000,000,000","33,028,446,745","45,511,244,117","594,000,000,000","306,000,000,000","288,000,000,000","11,119,208,000","32,876,785,043",,,,710
(주) 코미코,2024,125-86-14826,1.21E+12,997812,반도체,부품,"507,000,000,000","112,000,000,000","87,845,843,289","800,000,000,000","425,000,000,000","376,000,000,000","11,914,361,000","153,000,000,000",,,,767
(주) 포톤,2019,312-86-05902,1.10E+12,1047707,반도체,장비,"90,419,017,107","7,047,268,272","6,135,020,729","88,918,610,090","32,785,180,582","56,133,429,508","1,473,171,000","10,496,855,761",,,,49
(주) 포톤,2020,312-86-05902,1.10E+12,1047707,반도체,장비,"91,793,146,691","-4,318,361,567","-16,895,381,096","101,000,000,000","63,490,930,054","37,651,298,998","1,343,730,000","26,193,023,047",,,,39
(주) 포톤,2021,312-86-05902,1.10E+12,1047707,반도체,장비,"87,279,780,152","-6,662,356,367","-7,886,623,702","104,000,000,000","54,324,747,175","49,445,326,984","1,257,463,000","2,561,860,569",,,,27
(주) 포톤,2022,312-86-05902,1.10E+12,1047707,반도체,장비,"104,000,000,000","544,989,472","398,277,026","86,054,898,252","34,757,189,325","51,297,708,927","145,404,000","1,738,985,828",,,,30
(주) 포톤,2023,312-86-05902,1.10E+12,1047707,반도체,장비,"123,000,000,000","-3,261,884,829","-13,725,866,240","108,000,000,000","50,618,029,059","57,532,194,409",,"2,688,268,308",,,,38
(주) 포톤,2024,312-86-05902,1.10E+12,1047707,반도체,장비,"136,000,000,000","-3,415,404,843","-9,610,856,320","98,898,606,681","45,048,982,368","45,048,982,368",,"6,071,270,892",,,,36
(주)경인양행,2019,137-81-00562,1.10E+12,102113,반도체,소재,"359,000,000,000","23,555,055,195","16,372,879,613","472,000,000,000","235,000,000,000","237,000,000,000","9,162,000,000","51,038,850,632",,,,617
(주)경인양행,2020,137-81-00562,1.10E+12,102113,반도체,소재,"329,000,000,000","3,369,846,654","-7,581,553,453","505,000,000,000","277,000,000,000","228,000,000,000","5,872,000,000","41,955,581,734",,,,616
(주)경인양행,2021,137-81-00562,1.10E+12,102113,반도체,소재,"403,000,000,000","28,354,678,017","27,210,074,941","579,000,000,000","328,000,000,000","252,000,000,000","7,485,000,000","29,449,383,493",,,,625
(주)경인양행,2022,137-81-00562,1.10E+12,102113,반도체,소재,"403,000,000,000","28,060,459,106","17,240,723,264","548,000,000,000","282,000,000,000","266,000,000,000","7,425,000,000","53,561,044,109",,,,570
(주)경인양행,2023,137-81-00562,1.10E+12,102113,반도체,소재,"345,000,000,000","-2,247,161,467","-9,742,504,993","539,000,000,000","287,000,000,000","252,000,000,000","6,936,000,000","28,987,239,090",,,,530
(주)경인양행,2024,137-81-00562,1.10E+12,102113,반도체,소재,"374,000,000,000","24,226,048,531","16,247,818,016","545,000,000,000","280,000,000,000","265,000,000,000","6,379,000,000","24,273,790,891",,,,484
(주)구비테크,2019,514-81-77614,1.65E+12,1154706,반도체,부품,"21,055,354,979","2,666,236,068","2,595,239,195","11,312,363,937","6,548,501,198","4,763,862,739",,"243,533,466","7,684,777,375","7,441,243,909","243,533,466",31
(주)구비테크,2020,514-81-77614,1.65E+12,1154706,반도체,부품,,,,,,,,,,,,
(주)구비테크,2021,514-81-77614,1.65E+12,1154706,반도체,부품,,,,,,,,,,,,
(주)구비테크,2022,514-81-77614,1.65E+12,1154706,반도체,부품,"45,022,298,790","513,284,455","640,658,619","21,827,078,548","16,067,923,441","5,759,155,107","479,756,490","6,671,443,088","15,711,822,474","9,040,379,386","6,671,443,088",42
(주)구비테크,2023,514-81-77614,1.65E+12,1154706,반도체,부품,"16,414,111,648","1,675,806,537","1,168,847,958","26,656,097,249","15,573,360,044","11,082,737,205","271,593,302","3,803,018,769","19,514,841,243","15,711,822,474","3,803,018,769",31
(주)구비테크,2024,514-81-77614,1.65E+12,1154706,반도체,부품,"8,355,327,763","-1,086,718,326","-1,301,668,563","23,771,643,335","13,990,574,693","9,781,068,642","329,844,534","934,530,940","18,580,310,303","19,514,841,243","934,530,940",31
