기업명,dart_corp_code,crno,연도,설립일,업종코드,주소,연구개발비,유형자산_당기,유형자산_전기,종업원_합계,정규직_수,계약직_수,자산,자본,부채,CAPEX,영업이익,당기순이익,매출액
레이트론(주),00666912,1341110444765.0,2024,20001001,2611,,0,,,0,0,0,,,,,,,
루츠,01794230,1101112802547.0,2024,20230721,46413,,0,,,0,0,0,,,,,,,
리드엔지니어링,01845066,1501110100896.0,2024,20061101,29271,,0,,,0,0,0,,,,,,,
멜콘(주),01028933,1311110107671.0,2024,20031216,29,,0,,,0,0,0,,,,,,,
모아,00689746,1101110250706.0,2024,20050909,68,,0,,,0,0,0,,,,,,,
미래첨단소재 주식회사,01651908,1501110270186.0,2024,20161115,23993,,0,,,0,0,0,,,,,,,
바테크(주),00846998,1101110608244.0,2024,20050316,46510,,0,,,0,0,0,,,,,,,
볼트크리에이션,01588356,1101115745380.0,2024,20150801,26129,,0,,,0,0,0,,,,,,,
부국산업 주식회사,00123754,1152110036629.0,2024,19860401,3831,,0,,,0,0,0,,,,,,,
브이에이디인스트루먼트,01527230,1311110397222.0,2024,20150112,29271,,0,,,0,0,0,,,,,,,
비나텍(주),00563518,1341110067418.0,2024,19990726,282,,0,,,202,155,47,176126234804,83923633993,92202600811,44872584554,-8067980363,-9667529378,59591709951
비씨엔씨(주),01301623,1101112767064.0,2024,20030619,261,,0,,,307,304,3,161817096152,73201826510,88615269642,29573463037,-2062469600,-2269893948,77373628222
