기업명,dart_corp_code,crno,연도,설립일,업종코드,주소,연구개발비,유형자산_당기,유형자산_전기,종업원_합계,정규직_수,계약직_수,자산,부채,자본,CAPEX,매출액,영업이익,당기순이익
(주)엠케이테크,01736829,1101111889695.0,2019,20010522,29293,,0,,,0,0,0,,,,,,,
(주)엠플러스,00784713,1101110663769.0,2019,20071004,46522,,0,,,0,0,0,,,,,,,
(주)영상테크,01652518,1101112190819.0,2019,20010312,42321,,0,,,0,0,0,,,,,,,
(주)예리코코리아,01817498,1311110239903.0,2019,20090923,29271,,0,,,0,0,0,,,,,,,
(주)예스히팅테크닉스,01545865,1313110095096.0,2019,20100113,29271,,0,,,0,0,0,,,,,,,
(주)예승이엔지,01636097,1314110249485.0,2019,20101101,29271,,0,,,0,0,0,,,,,,,
(주)온새미로,01247422,1101113469130.0,2019,20120110,17105,,0,,,0,0,0,,,,,,,
(주)와이에이치이코퍼레이션,01516438,1244110268020.0,2019,20200601,29271,,0,,,0,0,0,,,,,,,
(주)와이컴,01285884,1101112140905.0,2019,20070829,26129,,0,,,0,0,0,,,,,,,
(주)울텍,00469513,1101112078388.0,2019,20001110,46413,,0,,,0,0,0,,,,,,,
(주)원익피앤이,00785475,1342110063894.0,2019,20040316,281,,0,,,238,228,10,177485962490,97548411299,79937551191,9767863594,147158084223,17764701391,15921508546
(주)웨이브피아,01834149,1101113182378.0,2019,20140917,26129,,0,,,0,0,0,,,,,,,
(주)위드텍,01327454,1101112788630.0,2019,20110101,30331,,0,,,0,0,0,,,,,,,
(주)위지트,00258360,1101111373755.0,2019,19970204,29272,,0,25467471127,23674502995,131,131,0,104295338210,32149553215,72145784995,1792968132,31658925863,-1057537636,-5588828434
(주)윌비에스엔티,00622990,1243110027098.0,2019,19870103,22249,,0,,,0,0,0,,,,,,,
(주)유니젯,01634309,1101114269745.0,2019,20020919,29272,,0,,,0,0,0,,,,,,,
(주)유에스티,00390620,1101111338999.0,2019,19971013,26,,0,,,0,0,0,,,,,,,
(주)유진테크,00531014,1101114496794.0,2019,20000105,29271,,0,,,210,209,1,278351029018,33094339899,245256689119,13643597707,205466890210,23813957940,10808360718
(주)은일,00534844,1101111908106.0,2019,19941104,292,,0,,,0,0,0,,,,,,,
(주)이노맥스,00926984,1101115065150.0,2019,20050805,29271,,0,,,0,0,0,,,,,,,
(주)이노하이텍,00656544,1211110254812.0,2019,20030114,2629,,0,,,0,0,0,,,,,,,
(주)이솔루션,00967635,1101110718887.0,2019,20061123,22299,,0,,,0,0,0,,,,,,,
(주)이엔에프테크놀로지,00530185,1101111957195.0,2019,20000501,2049,,0,,,477,415,62,386226183928,117201378805,269024805123,49570785978,481013218709,59636772974,46731623774
(주)이엠앤아이,00475718,1101114895350.0,2019,19990930,201,,194083271,959916118,16855628157,16,16,0,9942298354,5395147991,4547150363,-15895712039,7377847723,-3235269519,27249811005
(주)정수이앤씨,01220586,1615110097430.0,2019,20080401,29271,,0,,,0,0,0,,,,,,,
